   [paribhāṣā]	[pariBAzA]
   bhāgais %ekaka-%ṣoḍaśa-%aṣṭaka-mitais dhūpam @cikīrṣāmi aham//	BAgEH %ekaka-%-zoxaSa--%azwa-ka-mitEH DUpam @cikIrzAmi aham//
   Lil_100p/ nyāsas/ mūlyāni drammās 32_1/ 1_8/ 1_8/ paṇyāni 1_1/ 1_1/ 1_2/	Lit-_100p/ nyAsas/ mUlyAni drammAH 32_1/ 1_8/ 1_8/ paNyAni 1_1/ 1_1/ 1_2/
   bhāgās 1_1/ 16_1/ 8_1/ miśra-dhanam drammās 16/ labdhāni karpūra-ādīnām	BAgAH 1_1/ 16_1/ 8_1/ miSra-Danam drammAH 16/ labDAni karpUra-AdInAm
   mūlyāni 2_9/ 8_9/ 8_9/ tathā teṣām paṇyāni 4_9/ 64_9/ 32_9// ratna-miśre	mUlyAni 2_9/ 8_9/ 8_9/ taTA tezAm paNyAni 4_9/ 64_9/ 32_9// ratna--miSre
   karaṇa-sūtram vṛttam/	karaNa-sUtram vRttam/
   Lil_101a/ nara-ghna-dāna-ūnita-ratna-śeṣais iṣṭe hṛte @syus khalu	Lit-_101a/ nara--Gna--dAna--Unita--ratna--SezEH izwe hRte @syuH Kalu
   mūlya-saṃkhyās/	mUlya--saMKyAs/
   Lil_101c/ śeṣais hṛte śeṣa-vadhe pṛthak-sthais abhinna-mūlyāni atha vā	Lit-_101c/ SezEH hRte Seza--vaDe pRTak--sTEH aBinna--mUlyAni aTa vA
   @bhavanti//	@Bavanti//
   Lil_101p/ atra uddeśakas/	Lit-_101p/ atra uddeSakas/
   Lil_102a/ māṇikya-%aṣṭakam indranīla-%daśakam muktāphalānām %śatam	Lit-_102a/ mANikya--%azwakam indranIla--%daSakam muktAPalAnAm %Satam
   sad-vajrāṇi ca %pañca ratna-vaṇijām yeṣām %caturṇām dhanam/	sad-vajrANi ca %paQca ratna-vaNijAm yezAm %caturNAm Danam/
   Lil_102c/ saṅga-sneha-vaśena te nija-dhanāt @dattvā %ekam %ekam mithas	Lit-_102c/ saFga--sneha--vaSena te nija--DanAt @dattvA %ekam %ekam miTas-
   jātās tulya-dhanās pṛthak @vada sakhe tad-ratna-mūlyāni me//	jAtAH tulya--DanAH pRTak @vada saKe tad--ratna--mUlyAni me//
   Lil_102p/ nyāsas mā 8/ nī 10/ mu 100/ va 5/ dānam 1/ narās 4/	Lit-_102p/ nyAsaH mA 8/ nI 10/ mu 100/ vaH 5/ dAnam 1/ narAH 4/
   nara-guṇita-dānena 4 ratna-saṃkhyāsu ūnitāsu śeṣāṇi mā 4/ nī 6/ mu 96/ va	nara--guNita--dAnena 4 ratna--saMKyAsu UnitAsu SezANi mA 4/ nI 6/ mu 96/ va
   1/ etais iṣṭa-rāśau bhakte ratna-mūlyāni @syus iti// tāni ca	1/ etEH izwa-rASO Bakte ratna--mUlyAni @syuH iti// tAni ca
   yathā-katham-cit iṣṭe kalpite abhinnāni/ atas atra iṣṭam tathā sudhiyā	yaTA-a-kaTam--cit izwe kalpite aBinnAni/ atas atra izwam taTA suDiyA
   @kalpyate yathā abhinnāni iti/ tathā iṣṭam kalpitam 96/ atas jātāni	@kalpyate yaTA aBinnAni iti/ taTA izwam kalpitam 96/ atas jAtAni
   mūlyāni 24/ 16/ 1/	mUlyAni 24/ 16/ 1/
   96/ sama-dhanam 233/ atha vā śeṣāṇām vadhe 2304 pṛthak śeṣais bhakte	96/ sama-Danam 233/ aTa vA SezANAm vaDe 2304 pRTak SezEH Bakte
   jātāni abhinnāni 596/ 384/ 24/ 2304/ janānām %caturṇām tulya-dhanam 5592/	jAtAni aBinnAni 596/ 384/ 24/ 2304/ janAnAm %caturNAm tulya--Danam 5592/
   teṣām ete drammās @saṃbhāvyante// atha suvarṇa-gaṇite karaṇa-sūtram/	tezAm ete drammAH @saMBAvyante// aTa suvarNa--gaNite karaNa-sUtram/
   Lil_103a/ suvarṇa-varṇa-āhati-yoga-rāśau svarṇa-aikya-bhakte	Lit-_103a/ suvarNa-varNa--Ahati--yoga-rASO svarNa--Ekya--Bakte
   kanaka-aikya-varṇas/	kanaka--Ekya-varNa-s/
   Lil_103c/ varṇas @bhavet śodhita-hema-bhakte varṇa-uddhṛte	Lit-_103c/ varNaH @Bavet SoDita--hema--Bakte varNa--udDRte
   śodhita-hema-saṃkhyā//	SoDita-hema--saMKyA//
   Lil_103p/ udāharaṇāni/	Lit-_103p/ udAharaNAni/
   Lil_104a/ #viśva-#arka-#rudra-%daśa-varṇa-suvarṇa-māṣās	Lit-_104a/ #viSva-#arka-#rudra--%daSa-varNa-suvarNa-mAzAH-
   #diś-#veda-#locana-#yuga-pramitās krameṇa/	#diS-#veda--#locana-#yuga--pramitAH krameNa/
   Lil_104c/ āvartiteṣu @vada teṣu suvarṇa-varṇas tūrṇam suvarṇa-gaṇita-jña	Lit-_104c/ Avartitezu @vada tezu suvarNa-varNaH tUrNam suvarNa--gaNita---jQa
   vaṇik @bhavet kas//	vaNij @Bavet kas//
   Lil_105a/ te śodhane yadi ca %viṃśatis ukta-māṣās @syus %ṣoḍaśa āśu @vada	Lit-_105a/ te SoDane yadi ca %viMSatiH ukta-mAzAH @syuH %zoxaSaH ASu @vada
   varṇa-mitis tadā kā/	varNa-mitiH tadA kA/
   Lil_105c/ ced śodhitam @bhavati %ṣoḍaśa-varṇa-hema te %viṃśatis kati	Lit-_105c/ ced SoDitam @Bavati %zoxaSa-varNa-hema te %viMSatiH kati
   @bhavanti tadā tu māṣās//	@Bavanti tadA tu mAzAs//
   Lil_105p/ nyāsas {btabular} 13 & 12 & 11 & 10 \\ 10 & 4 & 2 & 4 {etabular}	Lit-_105p/ nyAsaH {bta-bular} 13 & 12 & 11 & 10 \\ 10 & 4 & 2 & 4 {eta-bular}
   jātā āvartite suvarṇa-varṇa-mitis 12/ ete eva yadi śodhitās santas %ṣoḍaśa	jAtAH Avartite suvarNa-varNa-mitiH 12/ ete eva yadi SoDitAH santaH %zoxaSa
   māṣās @bhavanti tadā varṇās 15/ yadi te ca %ṣoḍaśa varṇās tadā %pañcadaśa	mAzAH @Bavanti tadA varNAH 15/ yadi te ca %zoxaSa varNAH tadA %paQcadaSa
   māṣās @bhavanti 15// atha varṇa-jñānāya karaṇa-sūtram vṛttam/	mAzAH @Bavanti 15// aTa varNa-jQAnAya karaNa-sUtram vRttam/
   Lil_106a/ svarṇa-aikya-nighnāt yuti-jāta-varṇāt	Lit-_106a/ svarNa-Ekya--niGnAt yuti--jAta---varNAt
   suvarṇa-tad-varṇa-vadha-aikya-hīnāt/	suvarNa--tad--varNa--vaDa--Ekya--hInAt/
   Lil_106c/ ajñāta-varṇa-agni-ja-saṃkhyayā āptam ajñāta-varṇasya @bhavet	Lit-_106c/ ajQAta--varNa--agni--ja--saMKyayA Aptam ajQAta--varNasya @Bavet-
   pramāṇam//	pramANam//
   Lil_106p/ udāharaṇam/	Lit-_106p/ udAharaNam/
   Lil_107a/ %daśa-#īśa-varṇās #vasu-#netra-māṣās ajñāta-varṇasya ṣaṭ	Lit-_107a/ %da-Sa-#ISa--varNAH #vasu-#netra-mAzAH ajQAta-varNasya zax-
   etad-aikye/	etat--Ekye/
   Lil_107c/ jātam sakhe %dvādaśakam suvarṇam ajñāta-varṇasya @vada	Lit-_107c/ jAtam saKe %dvAdaSakam suvarNam ajQAta--varNasya @vada
   pramāṇam//	pramANam//
   Lil_107p/ nyāsas/ {btabular} 10 & 11 & 0 \\ 8 & 2 & 6 {etabular}	Lit-_107p/ nyAsas/ {bta-bular} 10 & 11 & 0 \\ 8 & 2 & 6 {eta-bular}
   labdha-jñāta-varṇa-mānam 15// atha suvarṇa-jñānāya karaṇa-sūtram vṛttam/	labDa--jQAta--varNa-mAnam 15// aTa suvarNa-jQAnAya karaNa-sUtram vRttam/
   Lil_108a/ svarṇa-aikya-nighnas yuti-jāta-varṇas	Lit-_108a/ svarNa-a-Ekya--niGnaH yuti--jAta---varNa-s
   svarṇa-ghna-varṇa-aikya-viyojitas ca/	svarNa--Gna--varNa--Ekya--viyojitaH ca/
   Lil_108c/ ahema-varṇa-agni-ja-yoga-varṇa-viśleṣa-bhaktas avidita-agni-jam	Lit-_108c/ ahema-varNa--agni--ja--yoga--varNa--viSleza--BaktaH avidita--agni-jam
   @syāt//	@syAt//
   Lil_108p/ udāharaṇam/	Lit-_108p/ udAharaNam/
   Lil_109a/ %daśa-#indra-varṇās #guṇa-#candra-māṣās kiṃcit tathā	Lit-_109a/ %daSa-#indra--varNAH #guNa-#candra-mAzAH kiMcid taTA
   %ṣoḍaśakasya teṣām/	%zoxaSakasya tezAm-/
   Lil_109c/ jātam yutau %dvādaśakam suvarṇam kati iha te	Lit-_109c/ jAtam yutO %dvAdaSakam suvarNam kati iha te
   %ṣoḍaśa-varṇa-māṣās//	%zoxaSa-varNa-mAzAs//
   Lil_109p/ nyāsas {btabular} 10 & 14 & 16 \\ 3 & 1 & 0 {etabular} labdham	Lit-_109p/ nyAsaH {bta-bular} 10 & 14 & 16 \\ 3 & 1 & 0 {eta-bular} labDam
   māṣa-mānam 1// atha suvarṇa-jñānāya anyat karaṇa-sūtram vṛttam/	mAza-mAnam 1// aTa suvarNa-jQAnAya anyat karaNa-sUtram vRttam/
   Lil_110a/ sādhyena ūnas analpa-varṇas vidheyas sādhyas varṇas	Lit-_110a/ sADyena UnaH analpa--varNaH viDeyaH sADyaH varNa-s
   svalpa-varṇa-ūnitas ca/	svalpa-varNa--UnitaH ca/
   Lil_110c/ iṣṭa-kṣuṇṇe śeṣake svarṇa-māne @syātām svalpa-analpayos varṇayos	Lit-_110c/ izwa--kzuNNe Sezake svarNa--mAne @syAtAm su-alpa--analpayoH varNayoH-
   te//	te//
   Lil_110p/ udāharaṇam/	Lit-_110p/ udAharaNam/
   Lil_111a/ hāṭaka-guṭike %ṣoḍaśa-%daśa-varṇe tad-yutau sakhe jātam/	Lit-_111a/ hAwaka-guwike %zoxaSa--%daSa-varNe tad--yutO saKe jAtam/
   Lil_111c/ %dvādaśa-varṇa-suvarṇam @brūhi tayos svarṇa-māne me//	Lit-_111c/ %dvAdaSa-varNa--suvarNam @brUhi tayoH svarNa--mAne me//
   Lil_111p/ nyāsas 16/ 10/ sādhyas varṇas 12/ kalpitam iṣṭam 1/ labdhe	Lit-_111p/ nyAsaH 16/ 10/ sADyaH varNaH 12/ kalpitam izwam 1/ labDe
   suvarṇa-māne {btabular} 16 & 10 \\ 2 & 4 {etabular} atha vā %dvikena	suvarNa-mAne {bta-bular} 16 & 10 \\ 2 & 4 {eta-bular} aTa vA %dvikena
   iṣṭena {btabular} 16 & 10 \\ 4 & 8 {etabular} %ardha-guṇitena vā	izwena {bta-bular} 16 & 10 \\ 4 & 8 {eta-bular} %arDa--guNitena vA
   {btabular} 16 & 10 \\ 1 & 2 {etabular} evam bahudhā// atha	{bta-bular} 16 & 10 \\ 1 & 2 {eta-bular} evam bahu-DA// aTa
   chandas-citi-ādau karaṇa-sūtram śloka-%trayam/	Candas-citi-AdO karaNa-sUtram Sloka-%trayam/
   Lil_112a/ %eka-ādi-eka-uttarās aṅkās vyastās bhājyās krama-sthitais/	Lit-_112a/ %eka-Adi--eka--uttarAH aFkAH vyastAH BAjyAH krama--sTitEH-/
   Lil_112c/ paras pūrveṇa saṃguṇyas tad-paras tena tena ca//	Lit-_112c/ paraH pUrveNa saMguNyaH tad--paraH tena tena ca//
   Lil_113a/ %eka-%dvi-%tri-ādi-bhedās @syus idam sādhāraṇam smṛtam/	Lit-_113a/ %eka-%dvi-%tri-Adi-BedAH @syuH idam sADAraNam smRtam/
   Lil_113c/ chandas-citi-uttare chandasi upayogas asya tad-vidām//	Lit-_113c/ Canda-s-citi-uttare Candasi upayogaH asya tad--vidAm//
   Lil_114a/ mūṣā-vahana-bheda-ādau khaṇḍa-merau ca śilpake/	Lit-_114a/ mUzA-vahana-Beda-AdO KaNxa--merO ca Silpake/
   Lil_114c/ vaidyake rasa-bhedīye tat na uktam vistṛtes bhayāt//	Lit-_114c/ vEdyake rasa-BedIye tat naH uktam vistRteH Baya-at//
   Lil_114p/ tatra chandas-citi-uttare kiṃcit udāharaṇam/	Lit-_114p/ tatra Canda-s-citi-uttare kiMcid udAharaNam/
   Lil_115a/ prastāre mitra gāyatryās @syus pāde vyaktayas kati/	Lit-_115a/ prastAre mitra gAyatryAH @syuH pAde vyaktayaH kati/
   Lil_115c/ %eka-ādi-guravas ca āśu kati kati @ucyatām pṛthak//	Lit-_115c/ %eka-Adi-guravaH ca ASu kati kati @ucyatAm pRTak//
   Lil_115p/ iha hi %ṣaṣ-akṣaras gāyatrī-caraṇas/ atas %ṣaṣ-antānām	Lit-_115p/ iha hi %zaz-akzaraH gAyatrI--caraNas/ atas %zaz-antAnAm
   %eka-ādi-%eka-uttara-aṅkānām vyastānām krama-sthānām ca nyāsas {btabular}	%eka-Adi--%eka--uttara--aFkAnAm vyastAnAm krama-sTAnAm ca nyAsaH {bta-bular}
   6 & 5 & 4 & 3 & 2 & 1 \\ 1 & 2 & 3 & 4 & 5 & 6 {etabular}	6 & 5 & 4 & 3 & 2 & 1 \\ 1 & 2 & 3 & 4 & 5 & 6 {eta-bular}
   yathā-ukta-karaṇena labdhās %eka-guru-vyaktayas 6/ %dvi-guravas 15/	yaTA-a-ukta-karaNena labDAH %eka--guru-vyaktayaH 6/ %dvi-guravaH 15/
   %tri-guravas 20/ %catur-guravas 15/ %pañca-guravas 6/ %ṣaṣ-gurus 1/ atha	%tri-guravaH 20/ %catur-guravaH 15/ %paQca-guravaH 6/ %zaz-guruH 1/ aTa
   %ekas sarva-laghus	%ekaH sarva-laGuH-
   1/ evam āsām aikyam pāda-vyakti-mitis 64// evam	1/ evam AsAm Ekyam pAda--vyakti--mitiH 64// evam
   %catur-caraṇa-akṣara-saṃkhyakān yathā-uktam @vinyasya %eka-ādi-guru-bhedān	%catur-caraNa--akzara--saMKyakAn yaTA-uktam @vinyasya %eka-Adi--guru--BedAn
   @ānīya tān sa-%ekān @%ekī-kṛtya jātās gāyatrī-vṛtta-vyakti-saṃkhyās	@A-AnIya tAn sa-%ekAn @%ekI-kRtya jAtAH gAyatrI--vRtta--vyakti--saMKyAs
   16777216// evam ukthā-ādi-utkṛti-paryantam chandasām vyakti-mitis	16777216// evam ukTA-a-Adi--utkRti--paryantam CandasAm vyakti-mitis
   jñātavyā// udāharaṇam śilpe/	jQAta-vyA// udAharaNam Silpe/
   Lil_116a/ %eka-%dvi-%tri-ādi-mūṣā-vahana-mitim aho @brūhi me bhūmi-bhartus	Lit-_116a/ %eka-%dvi-%tri--Adi-mUzA--vahana-mitim aho @brUhi me BUmi-BartuH-
   harmye ramye %aṣṭa-mūṣe catura-viracite ślakṣṇa-śālā-viśāle/	harmye ramye %azwa-mUze catura-viracite SlakzNa--SAlA--viSAle/
   Lil_116c/ %eka-%dvi-%tri-ādi-yuktās	Lit-_116c/ %eka-%dvi-%tri-a-Adi--yuktAH-
   madhura-kaṭu-kaṣāya-āmlaka-kṣāra-tiktais ekasmin %ṣaṣ-rasais @syus gaṇaka	maDura--kawu--kazAya-a-amlaka-kzAra-tiktEH ekasmin %zaz--rasEH @syuH gaNaka
   kati @vada vyañjane vyakti-bhedās//	kati @vada vyaQjane vyakti-Beda-As//
   Lil_116p1/ mūṣā-nyāsas {btabular} 8 & 7 & 6 & 5 & 4 & 3 & 2 & 1 \\ 1 & 2 &	Lit-_116p1/ mUzA-nyAsaH {bta-bular} 8 & 7 & 6 & 5 & 4 & 3 & 2 & 1 \\ 1 & 2 &
   3 & 4 & 5 & 6 & 7 & 8 {etabular} labdhās	3 & 4 & 5 & 6 & 7 & 8 {eta-bular} labDAs
   %eka-%dvi-%tri-ādi-mūṣā-vahana-saṃkhyās {btabular} 8 & 28 & 56 & 70 & 56 &	%eka-%dvi-%tri-Adi--mUzA-vahana--saMKyAH {bta-bular} 8 & 28 & 56 & 70 & 56 &
   28 & 8 & 1 \\ 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 {etabular} evam %aṣṭa-mūṣe	28 & 8 & 1 \\ 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 {eta-bular} evam %azwa-mUze
   rāja-gṛhe mūṣā-vahana-bhedās 255// atha %dvitīya-udāharaṇam/ nyāsas	rAja--gRhe mUzA-vahana-BedAH 255// aTa %dvitIya--udAharaNam/ nyAsa-s
   {btabular} 6 & 5 & 4 & 3	{bta-bular} 6 & 5 & 4 & 3
   & 2 & 1 \\ 1 & 2 & 3 & 4 & 5 & 6 {etabular} labdhās	& 2 & 1 \\ 1 & 2 & 3 & 4 & 5 & 6 {eta-bular} labDAs
   %eka-ādi-rasa-saṃyogena pṛthak vyaktayas/ {btabular} 6 & 15 & 20 & 15 & 6	%eka-Adi--rasa--saMyogena pRTak vyaktayas/ {bta-bular} 6 & 15 & 20 & 15 & 6
   & 1 \\ 1 & 2 & 3 & 4 & 5 & 6 {etabular} etāsām aikyam sarva-bhedās 63//	& 1 \\ 1 & 2 & 3 & 4 & 5 & 6 {eta-bular} etAsAm Ekyam sarva-BedAH 63//
   iti miśra-vyavahāras samāptas//	iti miSra--vyavahAraH samApta-s//
   [śreḍhī-vyavahāra]	[SreXI--vyavahAra]
   Lil_116p2/ atha śreḍhī-vyavahāras// tatra saṃkalita-aikye karaṇa-sūtram	Lit-_116p2/ aTa SreXI--vyavahAra-s// tatra saMkalita--Ekye karaNa-sUtram
   vṛttam/	vRttam/
   Lil_117a/ sa-%eka-pada-ghna-pada-%ardham atha %eka-ādi-aṅka-yutis kila	Lit-_117a/ sa-%eka--pada--Gna--pada-%arDam aTa %eka-Adi--aFka--yutiH kila
   saṃkalita-ākhyā/	saMkalita--AKyA/
   Lil_117c/ sā %dvi-yutena padena vinighnī @syāt %tri-hṛtā khalu	Lit-_117c/ sA %dvi-yutena padena viniGnI @syAt %tri-hRtA Kalu
   saṃkalita-aikyam//	saMkalita--Ekyam//
   Lil_117p/ udāharaṇam/	Lit-_117p/ udAharaNam/
   Lil_118a/ %eka-ādīnām %nava-antānām pṛthak saṃkalitāni me/	Lit-_118a/ %eka-AdInAm %nava--antAnAm pRTak saMkalitAni me/
   Lil_118c/ teṣām saṃkalita-aikyāni @pracakṣva gaṇaka drutam//	Lit-_118c/ tezAm saMkalita--EkyAni @pracakzva gaNaka drutam//
   Lil_118p/ nyāsas {btabular} * & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 \\	Lit-_118p/ nyAsaH {bta-bular} * & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 \\
   saṃkalitāni & 1 & 3 & 6 & 10 & 15 & 21 & 28 & 36 & 45 \\ eṣām aikyāni & 1	saMkalitAni & 1 & 3 & 6 & 10 & 15 & 21 & 28 & 36 & 45 \\ ezAm EkyAni & 1
   & 4 & 10 & 20 & 35 & 56 & 84 & 120 & 165 {etabular} kṛti-ādi-yoge	& 4 & 10 & 20 & 35 & 56 & 84 & 120 & 165 {eta-bular} kRti--Adi--yoge
   karaṇa-sūtram vṛttam/	karaNa-sUtram vRttam/
   Lil_119a/ %dvi-ghna-padam #ku-yutam %tri-vibhaktam saṃkalitena hatam	Lit-_119a/ %dvi-Gna-padam #ku-yutam %tri-viBaktam saMkalitena hatam
   kṛti-yogas/	kRti-yoga-s/
   Lil_119c/ saṃkalitasya kṛtes samam %eka-ādi-aṅka-ghana-aikyam udāhṛtam	Lit-_119c/ saMkalitasya kRteH samam %eka-Adi--aFka-Gana--a-Ekyam udAhRtam
   ādyais//	AdyEs//
   Lil_119p/ udāharaṇam/	Lit-_119p/ udAharaNam/
   Lil_120a/ teṣām eva ca varga-aikyam ghana-aikyam ca @vada drutam/	Lit-_120a/ tezAm eva ca varga-Ekyam Gana-Ekyam ca @vada drutam/
   Lil_120c/ kṛti-saṃkalanā-mārge kuśalā yadi te matis//	Lit-_120c/ kRti--saMkalanA--mArge kuSalAH yadi te mati-s//
   Lil_120p/ nyāsas {btabular} * & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 \\	Lit-_120p/ nyAsaH {bta-bular} * & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 \\
   varga-aikyam & 1 & 5 & 14 & 30 & 55 & 91 & 140 & 204 & 285 \\ ghana-aikyam	varga-Ekyam & 1 & 5 & 14 & 30 & 55 & 91 & 140 & 204 & 285 \\ Gana-Ekyam
   & 1 & 9 & 36 & 100 & 225 & 441 & 784 & 1296 & 2025 {etabular}	& 1 & 9 & 36 & 100 & 225 & 441 & 784 & 1296 & 2025 {eta-bular}
   yathā-uttara-caye antya-ādi-dhana-jñānāya karaṇa-sūtram vṛttam/	yaTA-uttara-caye antya-Adi-Dana--jQAnAya karaNa-sUtram vRttam/
   Lil_121a/ vi-%eka-pada-ghna-cayas mukha-yuk @syāt antya-dhanam mukha-yuk	Lit-_121a/ vi-%eka--pada--Gna--cayaH muKa-yuj @syAt anti-a-Danam muKa--yuj-
   dalitam tat/	dalitam tat/
   Lil_121c/ madhya-dhanam pada-saṃguṇitam tat sarva-dhanam gaṇitam ca tat	Lit-_121c/ maDya-Danam pada--saMguNitam tat sarva--Danam gaNitam ca tat-
   uktam//	uktam//
   Lil_121p/ udāharaṇam/	Lit-_121p/ udAharaNam/
   Lil_122a/ ādye dine dramma-%catuṣṭayam yas @dattvā dvijebhyas anu-dinam	Lit-_122a/ Adye dine dramma-%-catuzwayam yaH @dattvA dvijeByaH anu-dinam
   pravṛttas/	pravRttas/
   Lil_122c/ dātum sakhe %pañca-cayena pakṣe drammās @vada drāk kati tena	Lit-_122c/ dAtum saKe %paQca--cayena pakze drammAH @vada drAk kati tena
   dattās//	dattAs//
   Lil_122p/ nyāsas/ ā 4/ ca 5/ ga 15/ madhya-dhanam 39/ antya-dhanam 74/	Lit-_122p/ nyAsas/ A 4/ ca 5/ ga 15/ maDya-Danam 39/ antya-Danam 74/
   sarva-dhanam 575// udāharaṇa-antaram/	sarva--Danam 575// udAharaNa--antaram/
   Lil_123a/ ādis %sapta cayas %pañca gacchas %aṣṭau yatra tatra me/	Lit-_123a/ AdiH %sapta cayaH %paQca gacCaH %azwO yatra tatra me/
   Lil_123c/ madhya-antya-dhana-saṃkhye ke @vada sarva-dhanam ca kim//	Lit-_123c/ maDya-anti-a--Dana--saMKye ke @vada sarva--Danam ca kim//
   Lil_123p/ nyāsas/ ā 7/ ca 5/ ga 8/ madhya-dhanam 49_2/ antya-dhanam 42/	Lit-_123p/ nyAsas/ A 7/ ca 5/ ga 8/ maDya-Danam 49_2/ antya-Danam 42/
   sarva-dhanam 196// sama-dine gacche madhya-dina-abhāvāt madhyāt	sarva--Danam 196// sama-dine gacCe maDya-dina--aBAvAt maDyAt-
   prāk-apara-dina-dhanayos yoga-%ardham madhya-dina-dhanam @bhavitum @arhati	prAk-apara-dina--DanayoH yoga-%arDam maDya-dina-Danam @Bavitum @arhati
   iti pratītis utpādyā// mukha-jñānāya karaṇa-sūtram vṛtta-%ardham/	iti pratItiH utpAdyA// muKa--jQAnAya karaNa-sUtram vRtta--%arDam/
   Lil_124/ gaccha-hṛte gaṇite vadanam @syāt	Lit-_124/ gacCa-hRte gaNite vadanam @syAt-
   vi-%eka-pada-ghna-caya-%ardha-vihīne//	vi-%eka--pada--Gna--caya--%arDa--vihIne//
   Lil_124p/ udāharaṇam/	Lit-_124p/ udAharaNam/
   Lil_125a/ %pañca-adhikam %śatam śreḍhī-phalam %sapta padam kila/	Lit-_125a/ %paQca-aDikam %Satam SreXI--Palam %sapta padam kila/
   Lil_125c/ cayam %trayam vayam @vidmas vadanam @vada nandana//	Lit-_125c/ cayam %trayam vayam @vidmaH vadanam @vada nandana//
   Lil_125p/ nyāsas/ ā 0/ ca 3/ ga 7/ dha 105/ ādi-dhanam 6/ antya-dhanam 24/	Lit-_125p/ nyAsas/ A 0/ ca 3/ gaH 7/ Da 105/ Adi-Danam 6/ antya-Danam 24/
   madhya-dhanam 15// caya-jñānāya karaṇa-sūtram vṛtta-%ardham/	maDya-Danam 15// caya--jQAnAya karaNa-sUtram vRtta--%arDam/
   Lil_126/ gaccha-hṛtam dhanam ādi-vihīnam vi-%eka-pada-%ardha-hṛtam ca	Lit-_126/ gacCa--hRtam Danam Adi-vihInam vi-%eka--pada-%arDa--hRtam ca
   cayas @syāt//	cayaH @syAt//
   Lil_126p/ udāharaṇam/	Lit-_126p/ udAharaNam/
   Lil_127a/ %prathamam @agamat ahnā yojane yas jana-īśas tad-anu nanu kayā	Lit-_127a/ %praTamam @agamat ahnA yojane yaH jana-ISaH tat--anu nanu kayA
   asau @brūhi yātas adhva-vṛddhyā/	asO @brUhi yAtaH aDva--vRdDyA/
   Lil_127c/ ari-kari-haraṇa-artham yojanānām %aśītyā ripu-nagaram avāptas	Lit-_127c/ ari-kari-haraNa--arTam yojanAnAm %aSItyA ripu-nagaram avApta-s
   %sapta-rātreṇa dhīman//	%sapta--rAtreNa DIman//
   Lil_127p/ nyāsas/ ā 2/ ca 0/ ga 7/ dha 80/ labdham uttaram 22_7/	Lit-_127p/ nyAsas/ A 2/ ca 0/ gaH 7/ Da 80/ labDam uttaram 22_7/
   antya-dhanam 146_7/ madhya-dhanam 80_7// gaccha-jñānāya karaṇa-sūtram	anti-a-Danam 146_7/ maDya-Danam 80_7// gacCa-jQAnAya karaNa-sUtram
   vṛttam/	vRttam/
   Lil_128a/ śreḍhī-phalāt uttara-#locana-ghnāt	Lit-_128a/ SreXI--PalAt uttara-#locana--GnAt-
   caya-%ardha-vaktra-antara-varga-yuktāt/	caya-%arDa--vaktra--antara--varga--yuktAt/
   Lil_128c/ mūlam mukha-ūnam caya-#khaṇḍa-yuktam caya-uddhṛtam gaccham	Lit-_128c/ mUlam muKa--Unam caya-#KaNxa--yuktam caya-udDRtam gacCam
   @udāharanti//	@udAharanti//
   Lil_128p/ udāharaṇam/	Lit-_128p/ udAharaNam/
   Lil_129a/ dramma-%trayam yas %prathame ahni @dattvā @dātum pravṛttas	Lit-_129a/ dramma-%-trayam yaH %praTame ahni @dattvA @dAtum pravRttas
   %dvi-cayena tena/	%dvi-cayena tena/
   Lil_129c/ %śata-%trayam %ṣaṣṭi-adhikam dvijebhyas dattam kiyadbhis	Lit-_129c/ %Sata-%-trayam %zazwi-aDikam dvijeByaH dattam kiyadBiH-
   divasais @vada āśu//	divasEH @vadaH ASu//
   Lil_129p/ nyāsas/ ā 3/ ca 2/ ga 0/ dha 360/ antya-dhanam 37/ madhya-dhanam	Lit-_129p/ nyAsas/ A 3/ ca 2/ gaH 0/ DaH 360/ anti-a-Danam 37/ maDya-Danam
   20/ labdhas gacchas 18// atha %dvi-guṇa-uttara-ādi-phala-ānayane	20/ labDaH gacCaH 18// aTa %dvi-guNa--uttara--Adi-Pala--Anayane
   karaṇa-sūtram sa-%ardhā āryā/	karaNa-sUtram sa-%arDA AryA/
   Lil_130a/ viṣame gacche vi-%eke guṇakas sthāpyas same ardhite vargas/	Lit-_130a/ vizame gacCe vi-%eke guNakaH sTApyaH same arDite vargas/
   Lil_130c/ gaccha-kṣaya-antam antyāt vyastam guṇa-varga-jam phalam yat tat/	Lit-_130c/ gacCa-kzaya-antam antyAt vyastam guNa-varga-jam Palam yat tat/
   Lil_130e/ vi-%ekam vi-%eka-guṇa-uddhṛtam ādi-guṇam @syāt guṇa-uttare	Lit-_130e/ vi-%ekam vi-%eka--guNa-udDRtam Adi-guNam @syAt guNa--uttare
   gaṇitam//	gaNitam//
   Lil_130p/ udāharaṇam/	Lit-_130p/ udAharaNam/
